id, duration, avgHeartRate, maxHeartRate, dateOfTraining, elevation, uphill, downhill, length_2d, length_3d, moving_time, stopped_time
Rider2, 7071, 124.15, 166, 2014-10-26 12:01:09, 1174.56, 575.48, 599.08, 31190.5, 31275.26, 6913.0, 158.0
Rider2, 4708, 99.44, 146, 2014-09-12 13:13:16, 369.16, 191.58, 177.58, 17970.47, 18005.01, 3620.0, 1088.0
Rider2, 22961, 118.95, 161, 2012-09-16 08:32:28, 2625.68, 1309.94, 1315.74, 104097.26, 104301.18, 16249.0, 6712.0
Rider2, 6894, 123.72, 166, 2014-03-22 13:08:30, 1291.12, 646.96, 644.16, 33903.01, 33977.95, 5904.0, 990.0
Rider2, 8201, 116.99, 164, 2013-10-26 08:55:54, 1101.8, 547.1, 554.7, 30733.71, 30827.03, 7634.0, 567.0
Rider2, 77, 82.04, 88, 2012-09-09 09:17:52, 6.2, 4.4, 1.8, 154.08, 157.44, 48.0, 29.0
Rider2, 6229, 91.66, 130, 2014-07-06 14:01:00, 232.8, 116.6, 116.2, 26432.74, 26448.58, 5206.0, 1023.0
Rider2, 9491, 119.24, 155, 2014-03-01 10:32:46, 758.24, 372.32, 385.92, 46637.96, 46676.96, 8805.0, 686.0
Rider2, 5266, 127.67, 163, 2013-07-31 13:47:59, 577.84, 288.62, 289.22, 24066.8, 24104.24, 4976.0, 290.0
Rider2, 8025, 128.94, 168, 2013-05-28 14:03:42, 1514.24, 749.02, 765.22, 35374.14, 35491.42, 7678.0, 347.0
Rider2, 6217, 128.42, 169, 2014-03-06 14:56:32, 1059.56, 525.48, 534.08, 29584.97, 29652.28, 5906.0, 311.0
Rider2, 8781, 130.32, 167, 2014-03-20 14:55:07, 1428.0, 708.1, 719.9, 35699.33, 35816.39, 8457.0, 324.0
Rider2, 9799, 116.68, 158, 2015-01-02 09:42:44, 1538.04, 768.22, 769.82, 17674.48, 17929.21, 9670.0, 129.0
Rider2, 5, 111.6, 112, 2012-09-29 11:34:17, 1.8, 0.0, 1.8, 13.85, 15.14, 5.0, 0.0
Rider2, 13534, 119.75, 151, 2014-08-13 08:54:00, 1162.52, 592.46, 570.06, 72047.1, 72108.36, 10441.0, 3093.0
Rider2, 3486, 117.67, 155, 2012-10-11 14:36:46, 338.6, 176.2, 162.4, 17812.97, 17835.61, 3381.0, 105.0
Rider2, 18984, 127.08, 168, 2013-02-20 09:46:21, 3384.52, 1690.16, 1694.36, 77555.15, 77771.23, 16457.0, 2527.0
Rider2, 8789, 115.03, 161, 2014-08-27 13:58:33, 985.84, 494.62, 491.22, 36785.22, 36857.72, 7675.0, 1114.0
Rider2, 10478, 122.72, 168, 2012-05-26 12:39:46, 696.68, 380.84, 315.84, 17300.02, 17331.67, 4163.0, 6315.0
