id, duration, avgHeartRate, maxHeartRate, dateOfTraining, elevation, uphill, downhill, length_2d, length_3d, moving_time, stopped_time
Rider6, 907, 120.41, 142, 2014-05-18 16:07:17, 114.62, 54.51, 60.11, 6801.13, 6803.42, 906.0, 1.0
Rider6, 3220, 145.72, 160, 2014-09-05 17:50:28, 235.08, 118.14, 116.94, 11140.94, 11146.84, 2919.0, 301.0
Rider6, 3797, 132.9, 168, 2014-09-16 16:16:03, 92.4, 47.05, 45.35, 6221.82, 6223.31, 1397.0, 2400.0
Rider6, 7701, 134.46, 158, 2014-10-07 22:51:38, 1022.12, 511.36, 510.76, 53173.77, 53200.49, 5826.0, 1875.0
Rider6, 5303, 154.64, 169, 2014-09-21 10:21:31, 1701.78, 852.09, 849.69, 28643.64, 28759.37, 5254.0, 49.0
Rider6, 4277, 162.01, 177, 2014-12-27 06:58:44, 1074.5, 1050.75, 23.75, 4328.46, 4491.59, 4209.0, 68.0
Rider6, 3390, 158.41, 171, 2014-08-23 08:40:39, 1250.34, 624.02, 626.32, 37048.74, 37092.94, 3386.0, 4.0
Rider6, 9973, 127.98, 164, 2014-10-24 21:26:36, 2556.48, 1278.09, 1278.39, 30602.8, 30805.61, 9142.0, 831.0
Rider6, 4822, 137.26, 154, 2014-08-03 12:20:35, 472.84, 238.67, 234.17, 13930.59, 13968.27, 4399.0, 423.0
Rider6, 4972, 136.3, 160, 2014-10-04 11:26:35, 1048.12, 524.06, 524.06, 39115.25, 39147.22, 3984.0, 988.0
Rider6, 1413, 153.47, 165, 2014-08-02 14:26:22, 128.88, 60.29, 68.59, 5214.68, 5221.71, 1395.0, 18.0
Rider6, 13252, 116.25, 157, 2014-08-03 08:31:50, 3469.24, 1727.37, 1741.87, 89777.4, 89935.96, 11941.0, 1311.0
Rider6, 660, 82.49, 91, 2015-01-04 10:36:20, 10.74, 4.97, 5.77, 1048.39, 1048.49, 642.0, 18.0
Rider6, 3366, 166.7, 174, 2013-12-28 06:58:10, 1057.56, 1041.63, 15.93, 4159.27, 4322.05, 3257.0, 109.0
Rider6, 8431, 96.06, 127, 2015-01-04 10:55:37, 1137.6, 568.65, 568.95, 5270.52, 5465.04, 5594.0, 2837.0
Rider6, 28828, 141.73, 164, 2014-10-11 17:59:05, 4397.0, 2197.0, 2200.0, 180681.55, 180811.89, 18178.0, 10650.0
Rider6, 9505, 159.07, 179, 2014-10-26 19:30:07, 3276.26, 1632.18, 1644.08, 38529.23, 38816.47, 9426.0, 79.0
Rider6, 964, 139.59, 149, 2014-09-21 11:54:19, 132.7, 67.55, 65.15, 3070.57, 3077.44, 896.0, 68.0
Rider6, 2389, 138.11, 166, 2015-01-18 10:15:47, 261.7, 108.85, 152.85, 7011.99, 7023.62, 2285.0, 104.0
Rider6, 6565, 132.52, 176, 2014-07-13 16:05:16, 2379.12, 1188.91, 1190.21, 43792.33, 43977.98, 6439.0, 126.0
Rider6, 23721, 130.15, 172, 2014-08-02 07:41:19, 7590.84, 3797.22, 3793.62, 158334.82, 158774.0, 21232.0, 2489.0
Rider6, 5294, 101.33, 147, 2014-09-14 10:07:40, 1345.86, 675.03, 670.83, 26035.86, 26134.87, 5085.0, 209.0
Rider6, 10780, 155.27, 177, 2014-07-26 08:01:24, 5842.04, 2921.37, 2920.67, 43270.92, 43996.05, 9838.0, 942.0
Rider6, 5676, 112.64, 142, 2014-09-07 16:49:46, 467.64, 233.87, 233.77, 12197.78, 12222.89, 5134.0, 542.0
Rider6, 6557, 129.58, 171, 2014-08-27 15:31:40, 2517.26, 1256.43, 1260.83, 53896.89, 54061.7, 6427.0, 130.0
Rider6, 4044, 140.27, 160, 2014-08-28 15:02:01, 460.66, 231.03, 229.63, 13157.58, 13175.85, 3669.0, 375.0
Rider6, 3999, 109.48, 153, 2014-08-14 15:05:16, 1210.74, 604.52, 606.22, 24752.11, 24839.52, 3915.0, 84.0
Rider6, 5229, 133.61, 161, 2014-09-12 16:01:11, 582.92, 292.86, 290.06, 15562.72, 15591.02, 4776.0, 453.0
Rider6, 7234, 132.62, 166, 2014-05-20 15:39:43, 2445.0, 1222.25, 1222.75, 65492.7, 65632.57, 7226.0, 8.0
Rider6, 4938, 94.83, 155, 2014-10-23 18:58:54, 2937.06, 176.58, 2760.48, 48529.58, 48689.82, 4541.0, 397.0
Rider6, 2603, 116.53, 161, 2014-08-08 11:30:43, 588.64, 294.37, 294.27, 11112.12, 11141.18, 2487.0, 116.0
Rider6, 3411, 114.26, 158, 2014-09-21 07:45:42, 557.08, 277.99, 279.09, 10340.96, 10375.62, 2520.0, 891.0
Rider6, 13569, 143.82, 157, 2014-10-11 23:04:33, 701.2, 350.65, 350.55, 42680.12, 42693.24, 12446.0, 1123.0
Rider6, 3024, 136.94, 159, 2014-07-25 15:28:19, 509.54, 255.27, 254.27, 9312.97, 9340.01, 2977.0, 47.0
Rider6, 3498, 142.46, 171, 2014-10-01 16:18:21, 224.68, 112.44, 112.24, 11999.58, 12004.83, 3213.0, 285.0
