id, duration, avgHeartRate, maxHeartRate, dateOfTraining, elevation, uphill, downhill, length_2d, length_3d, moving_time, stopped_time
Rider3, 11260, 114.12, 146, 2012-04-09 11:26:24, 771.32, 387.56, 383.76, 80987.48, 81011.0, 10232.0, 1028.0
Rider3, 6860, 129.81, 168, 2012-09-24 10:23:39, 1645.92, 824.06, 821.86, 51326.33, 51394.28, 6756.0, 104.0
Rider3, 11163, 131.38, 164, 2012-03-07 13:27:01, 2071.44, 1039.42, 1032.02, 82738.34, 82817.2, 10946.0, 217.0
Rider3, 4461, 132.12, 167, 2014-09-23 15:26:19, 1090.04, 543.62, 546.42, 18302.51, 18397.36, 4131.0, 330.0
Rider3, 15349, 122.53, 158, 2011-07-25 07:58:28, 2256.4, 1114.2, 1142.2, 94459.88, 94555.46, 14108.0, 1241.0
Rider3, 10277, 130.14, 166, 2013-08-16 08:05:15, 3234.56, 1619.48, 1615.08, 48125.5, 48359.58, 9928.0, 349.0
Rider3, 7085, 130.93, 161, 2013-01-09 13:38:52, 2622.6, 1337.65, 1284.95, 28848.52, 29073.7, 6603.0, 482.0
Rider3, 7667, 135.45, 173, 2012-09-07 14:43:34, 2274.32, 1146.16, 1128.16, 44022.31, 44129.86, 7188.0, 479.0
Rider3, 9721, 123.3, 157, 2014-01-03 10:02:39, 1652.4, 826.0, 826.4, 57110.86, 57223.99, 9438.0, 283.0
Rider3, 12421, 158.29, 180, 2012-07-29 09:00:46, 3292.64, 2077.92, 1214.72, 59418.27, 59663.44, 12129.0, 292.0
Rider3, 7024, 136.32, 173, 2011-09-12 14:33:16, 1899.76, 950.98, 948.78, 44942.41, 45050.45, 6742.0, 282.0
Rider3, 6262, 124.03, 168, 2014-03-25 14:15:10, 1337.8, 665.4, 672.4, 24300.08, 24457.67, 4825.0, 1437.0
Rider3, 8931, 124.54, 156, 2013-08-21 13:33:05, 2069.24, 1038.22, 1031.02, 37059.37, 37239.2, 7815.0, 1116.0
Rider3, 15723, 126.78, 160, 2011-07-09 07:14:36, 1365.36, 689.38, 675.98, 106091.54, 106135.54, 12846.0, 2877.0
Rider3, 7479, 128.23, 169, 2012-03-16 13:22:15, 1735.08, 914.14, 820.94, 48586.86, 48675.56, 7111.0, 368.0
Rider3, 5600, 125.6, 168, 2014-06-18 13:54:01, 1662.04, 831.17, 830.87, 22107.82, 22245.55, 5028.0, 572.0
Rider3, 4051, 120.28, 151, 2012-06-10 06:56:12, 71.8, 26.2, 45.6, 16730.33, 16734.0, 2279.0, 1772.0
Rider3, 6200, 130.23, 173, 2011-07-14 07:33:07, 707.28, 346.94, 360.34, 35431.68, 35485.77, 6150.0, 50.0
Rider3, 5455, 131.68, 194, 2013-08-20 14:46:03, 1614.08, 805.94, 808.14, 22967.45, 23105.49, 5234.0, 221.0
Rider3, 15780, 126.1, 169, 2011-08-11 10:51:07, 1994.04, 1002.62, 991.42, 109066.7, 109139.4, 13811.0, 1969.0
Rider3, 18053, 115.16, 147, 2011-08-07 07:09:49, 2652.56, 1313.78, 1338.78, 97893.57, 97996.1, 16593.0, 1460.0
Rider3, 9767, 144.69, 175, 2014-08-17 08:07:57, 2310.2, 1161.7, 1148.5, 41562.88, 41754.63, 9301.0, 466.0
Rider3, 5727, 134.15, 171, 2011-08-12 07:52:11, 1832.72, 923.56, 909.16, 36316.27, 36407.21, 5547.0, 180.0
Rider3, 7395, 136.1, 170, 2013-01-04 13:40:18, 1946.84, 976.52, 970.32, 25687.31, 25932.43, 6480.0, 915.0
Rider3, 72698, 80.97, 81, 2012-05-07 15:01:42, 1055.24, 524.92, 530.32, 33858.03, 34078.13, 9300.0, 63398.0
Rider3, 2743, 123.16, 163, 2014-04-11 15:09:48, 374.48, 188.64, 185.84, 11893.1, 11923.5, 2327.0, 416.0
Rider3, 3915, 122.32, 170, 2014-01-23 15:29:39, 1118.6, 558.55, 560.05, 6358.02, 6523.9, 3725.0, 190.0
Rider3, 10272, 129.44, 157, 2012-07-08 06:43:57, 1728.0, 872.0, 856.0, 37762.17, 37908.31, 8522.0, 1750.0
Rider3, 5199, 138.91, 172, 2014-09-16 13:09:06, 1324.64, 663.72, 660.92, 21877.69, 21982.02, 4904.0, 295.0
Rider3, 4402, 141.51, 176, 2013-07-02 15:44:24, 877.12, 438.46, 438.66, 13736.02, 13843.57, 3900.0, 502.0
Rider3, 7006, 131.72, 161, 2013-12-12 13:22:25, 2487.04, 1246.12, 1240.92, 27907.93, 28128.71, 6648.0, 358.0
Rider3, 12756, 137.55, 169, 2012-06-24 07:54:58, 3188.52, 1614.26, 1574.26, 60502.86, 60715.91, 11939.0, 817.0
