id, duration, avgHeartRate, maxHeartRate, dateOfTraining, elevation, uphill, downhill, length_2d, length_3d, moving_time, stopped_time
Rider5, 4679, 125.71, 165, 2010-08-21 06:05:16, 882.54, 438.57, 443.97, 26340.86, 26402.47, 4134.0, 545.0
Rider5, 1357, 125.12, 147, 2011-08-16 14:13:13, 239.64, 127.32, 112.32, 7926.99, 7937.81, 1347.0, 10.0
Rider5, 11209, 158.4, 176, 2010-09-26 08:51:52, 2928.26, 1571.48, 1356.78, 50823.45, 51034.33, 10319.0, 890.0
Rider5, 7397, 134.43, 183, 2009-05-29 15:42:22, 1070.96, 535.08, 535.88, 31475.25, 31539.09, 4436.0, 2961.0
Rider5, 9209, 136.39, 178, 2013-01-29 09:44:09, 1602.38, 800.44, 801.94, 52659.69, 52760.76, 9007.0, 202.0
Rider5, 5485, 90.73, 123, 2011-09-01 15:03:16, 398.3, 198.8, 199.5, 23897.87, 23911.9, 4783.0, 702.0
Rider5, 8477, 127.49, 161, 2013-02-13 09:18:43, 343.2, 169.9, 173.3, 37516.18, 37522.39, 7011.0, 1466.0
Rider5, 8563, 127.6, 172, 2014-01-02 10:46:34, 1768.32, 887.81, 880.51, 47859.49, 47966.97, 8529.0, 34.0
Rider5, 2898, 138.14, 181, 2014-04-20 14:55:40, 522.3, 270.65, 251.65, 17801.01, 17837.05, 2885.0, 13.0
Rider5, 27425, 108.63, 187, 2009-04-22 06:58:13, 2812.68, 1406.49, 1406.19, 88335.45, 88498.3, 17050.0, 10375.0
Rider5, 7496, 115.12, 171, 2009-06-09 13:13:19, 1075.92, 538.76, 537.16, 31000.24, 31069.02, 5245.0, 2251.0
Rider5, 1024, 158.73, 180, 2013-06-14 09:29:44, 253.08, 126.54, 126.54, 2184.71, 2211.53, 828.0, 196.0
Rider5, 3986, 118.01, 152, 2011-07-08 16:05:45, 513.72, 255.61, 258.11, 26825.41, 26854.72, 3771.0, 215.0
Rider5, 4287, 131.81, 154, 2012-11-16 13:24:48, 780.98, 387.69, 393.29, 29601.58, 29655.28, 4182.0, 105.0
Rider5, 3676, 120.4, 155, 2009-07-01 15:10:07, 748.88, 374.59, 374.29, 24226.15, 24267.61, 3394.0, 282.0
Rider5, 7429, 130.55, 178, 2013-04-27 07:03:37, 2084.5, 1037.35, 1047.15, 46581.0, 46724.44, 7369.0, 60.0
Rider5, 14886, 129.29, 176, 2014-04-27 07:18:56, 4721.42, 2363.76, 2357.66, 64066.04, 64474.34, 13926.0, 960.0
