id, duration, avgHeartRate, maxHeartRate, dateOfTraining, elevation, uphill, downhill, length_2d, length_3d, moving_time, stopped_time
Rider7, 8590, 116.04, 158, 2014-08-22 08:30:18, 2383.24, 1193.12, 1190.12, 38276.05, 38439.2, 8414.0, 176.0
Rider7, 9471, 113.75, 153, 2014-05-02 07:32:19, 848.92, 415.36, 433.56, 68058.01, 68087.18, 9298.0, 173.0
Rider7, 5711, 121.08, 141, 2013-04-29 08:06:07, 401.32, 199.56, 201.76, 45353.09, 45365.22, 5632.0, 79.0
Rider7, 68696, 118.0, 154, 2013-03-04 14:11:11, 619.88, 270.64, 349.24, 63318.13, 63402.13, 7941.0, 60755.0
Rider7, 8770, 113.36, 160, 2014-08-26 08:12:15, 2272.0, 1138.2, 1133.8, 38959.1, 39090.72, 8764.0, 6.0
Rider7, 3338, 99.28, 131, 2014-06-01 09:06:08, 543.64, 273.12, 270.52, 13214.22, 13251.55, 3127.0, 211.0
Rider7, 5194, 114.95, 152, 2013-08-01 16:34:24, 1257.6, 628.8, 628.8, 16697.88, 16808.74, 5117.0, 77.0
Rider7, 11828, 115.65, 150, 2014-03-07 10:35:20, 2493.04, 1254.32, 1238.72, 36149.92, 36392.24, 10484.0, 1344.0
Rider7, 8961, 122.61, 158, 2014-05-07 14:50:58, 2566.76, 1286.58, 1280.18, 26724.55, 26994.05, 8507.0, 454.0
Rider7, 8545, 108.45, 146, 2014-03-25 10:10:42, 1917.56, 964.78, 952.78, 32660.75, 32799.38, 7763.0, 782.0
Rider7, 9070, 128.51, 158, 2013-03-08 10:31:42, 1024.44, 507.82, 516.62, 69517.12, 69557.72, 9064.0, 6.0
Rider7, 7872, 106.98, 139, 2014-03-30 08:59:36, 1772.36, 899.08, 873.28, 32337.67, 32470.34, 7372.0, 500.0
Rider7, 5009, 108.1, 137, 2014-03-31 08:51:03, 1240.6, 638.7, 601.9, 12829.1, 12967.91, 4722.0, 287.0
Rider7, 172901, 128.93, 172, 2013-08-12 05:57:28, 1666.2, 844.2, 822.0, 23932.59, 24099.16, 6770.0, 166131.0
Rider7, 16506, 119.34, 161, 2013-02-20 09:46:27, 3252.0, 1629.5, 1622.5, 58885.75, 59128.47, 13523.0, 2983.0
Rider7, 9882, 116.03, 166, 2014-04-01 08:30:42, 2134.44, 1090.92, 1043.52, 33566.67, 33751.44, 8500.0, 1382.0
Rider7, 7180, 110.21, 145, 2014-08-19 05:11:32, 1251.64, 629.32, 622.32, 50997.94, 51045.8, 7170.0, 10.0
Rider7, 8388, 121.88, 171, 2012-07-22 08:21:05, 2124.84, 1074.42, 1050.42, 46034.91, 46170.34, 8330.0, 58.0
Rider7, 11890, 123.84, 146, 2014-02-20 11:06:21, 1353.72, 676.16, 677.56, 93136.53, 93178.61, 11731.0, 159.0
Rider7, 7280, 125.14, 171, 2013-06-23 08:16:58, 1925.88, 968.64, 957.24, 27953.46, 28113.37, 7070.0, 210.0
Rider7, 5385, 130.11, 153, 2013-06-01 08:40:02, 355.88, 176.64, 179.24, 44963.26, 44973.48, 5287.0, 98.0
Rider7, 5998, 121.24, 160, 2013-09-03 15:23:25, 1351.24, 675.32, 675.92, 22566.66, 22675.55, 5907.0, 91.0
Rider7, 13051, 104.49, 155, 2014-03-20 10:53:51, 2013.28, 1017.64, 995.64, 33924.93, 34096.86, 8584.0, 4467.0
Rider7, 7712, 118.83, 161, 2014-03-26 10:05:31, 2419.24, 1208.52, 1210.72, 37045.41, 37186.51, 7619.0, 93.0
