id, duration, avgHeartRate, maxHeartRate, dateOfTraining, elevation, uphill, downhill, length_2d, length_3d, moving_time, stopped_time
Rider4, 2473, 144.0, 164, 2013-11-14 18:03:54, 71.6, 34.2, 37.4, 7713.39, 7717.97, 2471.0, 2.0
Rider4, 16461, 126.28, 174, 2015-01-04 09:48:54, 804.0, 396.8, 407.2, 90540.35, 90568.87, 11516.0, 4945.0
Rider4, 10492, 112.24, 158, 2012-03-09 10:18:20, 1446.04, 721.02, 725.02, 80775.58, 80814.61, 10404.0, 88.0
Rider4, 68825, 79.97, 80, 2013-04-29 17:46:09, 41.0, 33.0, 8.0, 5800.64, 5817.9, 2264.0, 66561.0
Rider4, 10672, 142.25, 193, 2012-04-11 13:56:45, 931.6, 469.7, 461.9, 94027.53, 94051.26, 10068.0, 604.0
Rider4, 6646, 135.26, 186, 2011-08-21 08:00:46, 1043.04, 520.82, 522.22, 34583.15, 34649.83, 6384.0, 262.0
Rider4, 15593, 102.91, 143, 2014-04-14 09:30:36, 690.88, 355.84, 335.04, 79453.76, 79480.16, 11290.0, 4303.0
Rider4, 9006, 111.26, 162, 2014-07-20 08:14:03, 1253.84, 670.92, 582.92, 50768.78, 50823.99, 7004.0, 2002.0
Rider4, 8490, 98.46, 152, 2014-08-04 10:37:06, 608.36, 304.58, 303.78, 43311.58, 43333.45, 5834.0, 2656.0
Rider4, 5807, 90.21, 117, 2012-07-23 10:03:23, 161.32, 85.16, 76.16, 24825.31, 24828.7, 3604.0, 2203.0
Rider4, 27295, 129.16, 181, 2012-03-10 06:55:20, 3458.68, 1723.84, 1734.84, 214643.3, 214743.44, 25547.0, 1748.0
Rider4, 10993, 127.92, 174, 2013-12-07 10:07:45, 1422.12, 694.96, 727.16, 84319.65, 84366.92, 9970.0, 1023.0
Rider4, 25369, 131.9, 179, 2014-05-23 08:25:02, 3414.8, 1714.2, 1700.6, 160563.28, 160689.99, 19889.0, 5480.0
Rider4, 8776, 113.2, 177, 2014-03-30 12:47:07, 1059.44, 532.82, 526.62, 67414.37, 67460.6, 8687.0, 89.0
Rider4, 4883, 115.09, 171, 2013-06-19 15:42:01, 839.76, 420.18, 419.58, 19536.24, 19607.89, 4565.0, 318.0
Rider4, 11302, 137.81, 182, 2013-04-30 12:55:58, 3230.04, 1615.32, 1614.72, 50857.56, 51063.89, 11044.0, 258.0
Rider4, 23881, 133.03, 175, 2014-08-31 08:48:50, 6202.56, 3117.98, 3084.58, 105756.86, 106188.77, 23148.0, 733.0
Rider4, 16516, 133.19, 182, 2012-03-24 11:24:05, 4511.12, 2239.96, 2271.16, 77941.56, 78232.49, 15601.0, 915.0
Rider4, 14975, 136.36, 181, 2013-09-03 11:20:13, 4132.84, 1599.62, 2533.22, 62309.92, 62668.64, 12823.0, 2152.0
Rider4, 7586, 121.62, 181, 2012-09-03 08:59:05, 1761.92, 910.16, 851.76, 51067.36, 51143.26, 7032.0, 554.0
Rider4, 5071, 143.49, 190, 2011-10-04 13:45:46, 1011.12, 527.86, 483.26, 19525.16, 19605.64, 4522.0, 549.0
Rider4, 5348, 126.95, 164, 2015-01-15 16:06:00, 271.72, 138.96, 132.76, 39535.44, 39546.35, 5294.0, 54.0
Rider4, 6548, 81.77, 115, 2012-08-13 09:20:32, 146.56, 80.48, 66.08, 33271.62, 33274.19, 5155.0, 1393.0
Rider4, 5494, 88.69, 128, 2012-04-26 11:55:34, 311.6, 149.1, 162.5, 20972.37, 20983.07, 4624.0, 870.0
Rider4, 1619, 144.72, 178, 2012-06-02 15:47:37, 445.6, 224.4, 221.2, 3986.8, 4037.09, 1519.0, 100.0
Rider4, 13505, 164.83, 188, 2011-08-28 07:31:09, 4440.84, 2229.12, 2211.72, 60345.25, 60656.99, 13414.0, 91.0
Rider4, 18574, 145.4, 182, 2013-07-09 08:43:40, 3950.04, 1984.72, 1965.32, 89623.14, 89872.79, 15859.0, 2715.0
Rider4, 6334, 136.09, 178, 2013-07-02 15:16:49, 791.0, 393.0, 398.0, 9464.05, 9559.88, 3172.0, 3162.0
Rider4, 5062, 149.47, 192, 2012-01-29 08:34:48, 1511.6, 799.8, 711.8, 7155.49, 7384.14, 3955.0, 1107.0
Rider4, 13112, 127.78, 178, 2014-05-02 08:03:48, 2083.6, 1039.2, 1044.4, 82752.63, 82829.47, 10275.0, 2837.0
Rider4, 10777, 126.53, 181, 2014-04-16 14:02:20, 1047.04, 520.72, 526.32, 88351.16, 88383.07, 9807.0, 970.0
Rider4, 12061, 134.25, 185, 2015-02-10 10:12:51, 1580.04, 782.02, 798.02, 94437.25, 94492.02, 11724.0, 337.0
Rider4, 21812, 134.2, 179, 2013-03-16 09:51:14, 4332.84, 2163.02, 2169.82, 160386.35, 160517.82, 20767.0, 1045.0
Rider4, 12667, 119.48, 181, 2014-06-25 14:17:48, 1269.32, 631.06, 638.26, 103845.89, 103889.3, 12509.0, 158.0
Rider4, 14464, 140.26, 184, 2012-02-26 09:40:11, 2386.0, 1190.9, 1195.1, 99000.76, 99096.88, 13136.0, 1328.0
Rider4, 4580, 103.12, 156, 2012-06-15 13:11:55, 366.16, 202.98, 163.18, 16767.66, 16784.16, 3381.0, 1199.0
Rider4, 2768, 124.43, 147, 2013-04-05 15:20:40, 147.24, 65.92, 81.32, 7341.39, 7359.59, 2562.0, 206.0
Rider4, 1825, 93.18, 114, 2014-08-29 11:42:04, 93.76, 46.98, 46.78, 8874.66, 8878.24, 1467.0, 358.0
Rider4, 5800, 97.36, 135, 2013-02-19 10:42:47, 1374.76, 681.68, 693.08, 30239.02, 30290.28, 5780.0, 20.0
Rider4, 14243, 116.97, 167, 2015-01-21 13:01:23, 446.76, 213.98, 232.78, 107040.31, 107052.64, 13824.0, 419.0
Rider4, 4353, 134.75, 159, 2013-11-20 18:13:30, 91.0, 44.0, 47.0, 12773.91, 12779.85, 4224.0, 129.0
Rider4, 19516, 125.79, 182, 2014-05-04 08:29:45, 3395.92, 1694.16, 1701.76, 104800.95, 104967.46, 13469.0, 6047.0
Rider4, 9375, 125.21, 176, 2012-10-09 13:14:03, 2127.2, 1043.0, 1084.2, 31873.76, 32041.56, 8574.0, 801.0
Rider4, 9274, 128.76, 179, 2013-08-27 12:45:16, 2196.64, 1103.62, 1093.02, 31418.01, 31624.44, 8016.0, 1258.0
Rider4, 12114, 120.25, 167, 2013-02-05 10:07:56, 1286.08, 651.24, 634.84, 100057.51, 100085.1, 11463.0, 651.0
Rider4, 6094, 130.38, 170, 2012-06-12 15:46:12, 1544.2, 728.4, 815.8, 26087.44, 26206.17, 5939.0, 155.0
Rider4, 9331, 108.01, 149, 2013-07-18 15:37:57, 1602.84, 813.12, 789.72, 30511.01, 30653.24, 7022.0, 2309.0
