id, duration, avgHeartRate, maxHeartRate, dateOfTraining, elevation, uphill, downhill, length_2d, length_3d, moving_time, stopped_time
Rider1, 13039, 165.5, 192, 2013-02-17 09:13:09, 2464.28, 1332.64, 1131.64, 92305.97, 92388.0, 12569.0, 470.0
Rider1, 8528, 72.57, 85, 2013-04-27 08:28:21, 1007.04, 503.82, 503.22, 63432.46, 63453.94, 7551.0, 977.0
Rider1, 1274, 103.27, 138, 2014-06-28 11:25:29, 30.0, 15.0, 15.0, 9338.07, 9338.92, 1270.0, 4.0
Rider1, 16878, 142.41, 182, 2014-07-19 07:35:43, 4194.16, 2097.48, 2096.68, 137693.55, 137844.59, 15153.0, 1725.0
Rider1, 6487, 126.19, 156, 2012-11-21 13:12:18, 978.6, 512.6, 466.0, 46889.82, 46921.07, 6429.0, 58.0
Rider1, 4170, 142.12, 152, 2013-04-20 08:18:28, 1056.8, 528.5, 528.3, 44293.32, 44322.27, 4170.0, 0.0
Rider1, 14688, 154.71, 186, 2014-06-08 07:00:14, 2233.12, 1113.16, 1119.96, 157217.54, 157279.29, 14672.0, 16.0
Rider1, 12893, 135.03, 181, 2013-02-10 09:26:22, 2660.6, 1334.5, 1326.1, 90141.84, 90225.75, 11466.0, 1427.0
Rider1, 15233, 117.73, 171, 2014-10-04 10:50:08, 3552.8, 1777.0, 1775.8, 101413.69, 101574.36, 14469.0, 764.0
Rider1, 7051, 135.62, 183, 2013-04-19 09:03:37, 871.56, 436.78, 434.78, 61744.72, 61762.34, 6797.0, 254.0
Rider1, 17039, 139.29, 179, 2014-04-02 12:25:27, 2569.2, 1284.4, 1284.8, 141515.9, 141610.34, 16491.0, 548.0
Rider1, 5807, 132.43, 177, 2014-06-13 08:27:02, 596.0, 302.2, 293.8, 33669.06, 33689.72, 3688.0, 2119.0
Rider1, 5629, 118.67, 142, 2014-04-14 10:17:43, 927.6, 463.4, 464.2, 39919.64, 39950.9, 5414.0, 215.0
Rider1, 11914, 122.97, 161, 2014-09-14 10:35:26, 2146.36, 631.08, 1515.28, 55956.07, 56091.97, 7069.0, 4845.0
Rider1, 7968, 135.27, 182, 2014-09-23 13:27:50, 1409.0, 702.6, 706.4, 47189.89, 47245.82, 5580.0, 2388.0
Rider1, 6654, 124.84, 175, 2014-06-11 06:43:40, 903.4, 456.8, 446.6, 49894.19, 49928.17, 6000.0, 654.0
Rider1, 8002, 143.78, 182, 2014-10-07 12:25:50, 2464.76, 1233.58, 1231.18, 67785.56, 67874.55, 7892.0, 110.0
Rider1, 12618, 131.44, 182, 2014-08-13 06:03:00, 2402.04, 1206.12, 1195.92, 92374.19, 92460.1, 10262.0, 2356.0
Rider1, 14290, 144.39, 183, 2014-04-30 08:09:46, 2255.88, 1130.14, 1125.74, 126326.5, 126390.02, 13750.0, 540.0
Rider1, 5607, 109.27, 152, 2013-06-13 13:23:44, 96.52, 34.36, 62.16, 13937.53, 13943.26, 3050.0, 2557.0
Rider1, 1939, 98.53, 150, 2014-08-16 10:56:55, 28.2, 10.8, 17.4, 7685.25, 7687.83, 1769.0, 170.0
Rider1, 16463, 138.26, 181, 2014-03-19 12:59:43, 2490.4, 1235.4, 1255.0, 141141.39, 141230.89, 15756.0, 707.0
Rider1, 4658, 120.41, 142, 2014-03-30 16:17:13, 210.16, 104.58, 105.58, 14105.04, 14114.9, 1770.0, 2888.0
Rider1, 5661, 131.92, 159, 2012-11-23 10:11:03, 1182.72, 592.66, 590.06, 16366.04, 16499.65, 5352.0, 309.0
Rider1, 3146, 113.19, 160, 2014-06-15 07:04:45, 409.2, 198.8, 210.4, 14465.76, 14487.56, 2153.0, 993.0
Rider1, 6524, 134.17, 169, 2015-01-14 13:59:37, 2455.92, 1228.01, 1227.91, 29348.49, 29583.96, 6405.0, 119.0
Rider1, 10818, 157.95, 181, 2014-05-11 07:02:19, 5690.34, 2995.47, 2694.87, 93628.37, 94134.89, 10680.0, 138.0
Rider1, 4161, 142.49, 175, 2014-11-19 16:07:18, 1077.48, 536.24, 541.24, 3708.97, 3909.21, 4129.0, 32.0
Rider1, 9354, 125.15, 175, 2014-07-10 15:28:24, 1725.6, 858.4, 867.2, 76282.34, 76342.69, 9256.0, 98.0
Rider1, 7751, 134.28, 167, 2014-07-14 13:33:31, 550.8, 276.4, 274.4, 71683.63, 71751.47, 7500.0, 251.0
Rider1, 4677, 134.49, 174, 2014-11-27 15:04:44, 453.4, 227.9, 225.5, 42.15, 1089.28, 1169.0, 3508.0
Rider1, 15421, 124.43, 168, 2012-11-25 08:12:53, 3359.68, 1688.54, 1671.14, 50269.34, 50520.43, 13320.0, 2101.0
Rider1, 7028, 154.36, 184, 2015-01-18 07:30:48, 2384.98, 1192.59, 1192.39, 24755.13, 24974.24, 6818.0, 210.0
Rider1, 2120, 170.68, 187, 2011-09-25 07:59:42, 1285.48, 983.24, 302.24, 13105.05, 13206.4, 2041.0, 79.0
Rider1, 12724, 142.02, 187, 2014-05-20 10:27:07, 2051.0, 1074.5, 976.5, 114867.65, 114921.33, 11128.0, 1596.0
