"";"Rider";"WeekOfYear";"mon_intensity";"mon_duration";"mon_hr";"tue_intensity";"tue_duration";"tue_hr";"wed_intensity";"wed_duration";"wed_hr";"thu_intensity";"thu_duration";"thu_hr";"fri_intensity";"fri_duration";"fri_hr";"sat_intensity";"sat_duration";"sat_hr";"sun_intensity";"sun_duration";"sun_hr";"weekIntensity";"weekDuration";"weekHearthrate";"weekOveral";"bestAtlethes"
"485";"Rider5";"27/2011";2;2397;118,25;0;0;0;2;1672;127,41;1;5433;109,6;2;3986;118,01;0;0;0;1;6851;107,72;0,571428571428571;2,70969890754063;1,9093299155411;5,1904573945103;"good"
"486";"Rider3";"11/2012";0;0;0;0;0;0;2;7789;132,28;2;11620;123,41;2;7479;128,23;2;16843;122,46;1;10706;109,32;0,642857142857143;7,25246469491074;2,02339873147327;9,91872056924115;"good"
"487";"Rider4";"11/2012";0;0;0;0;0;0;1;12658;117,24;3;14932;142,63;0;0;0;2;14858;121,83;3;16117;141,31;0,642857142857143;7,80242472688516;1,7187879982911;10,1640698680334;"good"
"488";"Rider3";"23/2012";0;0;0;2;12163;134,67;2;13040;126,85;2;6839;132,52;0;0;0;2;5530;128,28;2;13917;129,66;0,714285714285714;6,85971223021583;2,14262709914884;9,71662504365038;"good"
"489";"Rider4";"23/2012";0;0;0;0;0;0;1;1716;83,5;2;12003;132,52;0;0;0;0;0;0;3;14502;156,15;0,428571428571429;3,75979216626699;1,22307667028164;5,41144026512005;"good"
"490";"Rider3";"28/2011";0;0;0;2;6502;128,08;2;11971;119,77;2;6200;130,23;0;0;0;2;3275;125,75;0;0;0;0,571428571428571;3,72342126298961;1,65575602221565;5,95060585663383;"good"
"491";"Rider5";"28/2011";0;0;0;0;0;0;1;5449;114,32;0;0;0;0;0;0;2;6055;120,39;0;0;0;0,214285714285714;1,53264055422329;0,771336553945249;2,51826282245425;"bad"
"492";"Rider3";"32/2011";0;0;0;2;11963;123,26;2;8135;130,4;2;15780;126,1;2;5727;134,15;2;8780;137,45;0;0;0;0,714285714285714;6,71262989608313;2,140589569161;9,56750517952985;"good"
"493";"Rider5";"32/2011";0;0;0;1;5308;91,16;0;0;0;0;0;0;0;0;0;0;0;0;1;5654;105,17;0,142857142857143;1,46043165467626;0,64520687502054;2,24849567255394;"bad"
"494";"Rider4";"32/2011";0;0;0;2;7045;118,15;2;2267;139,27;1;5793;117,78;3;1977;183,95;2;17703;126,45;3;5890;159,88;0,928571428571429;5,41899813482547;2,77853363567649;9,12610319907339;"good"
