"";"Rider";"WeekOfYear";"mon_intensity";"mon_duration";"mon_hr";"tue_intensity";"tue_duration";"tue_hr";"wed_intensity";"wed_duration";"wed_hr";"thu_intensity";"thu_duration";"thu_hr";"fri_intensity";"fri_duration";"fri_hr";"sat_intensity";"sat_duration";"sat_hr";"sun_intensity";"sun_duration";"sun_hr";"weekIntensity";"weekDuration";"weekHearthrate";"weekOveral";"bestAtlethes"
"668";"Rider4";"51/2013";3;12218;151;2;9220;135,17;2;10436;130,92;2;11949;119,51;1;13234;115,81;0;0;0;2;16023;134,65;0,857142857142857;9,73621103117506;2,58654572940287;13,1798996177208;"good"
"675";"Rider5";"22/2009";0;0;0;2;5560;125,73;0;0;0;2;7003;128,51;2;7397;134,43;2;6530;121,5;3;1616;141,31;0,785714285714286;3,74447108979483;2,14098392980381;6,67116930531292;"good"
"676";"Rider5";"17/2009";0;0;0;0;0;0;1;27425;108,63;0;0;0;0;0;0;2;7468;134,69;0;0;0;0,214285714285714;4,64868105515588;0,799631930066713;5,6625986995083;"good"
"677";"Rider5";"24/2009";0;0;0;1;7496;115,12;2;4717;133,17;0;0;0;2;7645;118,56;0;0;0;3;5561;172,25;0,571428571428571;3,38649080735412;1,77166518781426;5,72958456659694;"good"
"679";"Rider5";"22/2011";1;23583;99,24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;11509;129,13;0,214285714285714;4,6751931787903;0,750501166650235;5,63998005972625;"good"
"680";"Rider5";"46/2014";0;0;0;2;4506;129,18;0;0;0;0;0;0;2;5571;126,08;2;5613;126,78;3;5002;167,17;0,642857142857143;2,75672795097256;1,80489007197082;5,20447516580052;"good"
"682";"Rider5";"36/2009";0;0;0;2;6972;118,41;2;6170;125,52;0;0;0;1;4172;117,62;3;8929;163,66;0;0;0;0,571428571428571;3,49626965094591;1,72601794340925;5,79371616578373;"good"
"683";"Rider5";"33/2010";0;0;0;2;8851;131,24;0;0;0;2;5965;123,91;0;0;0;0;0;0;3;17065;155,98;0,5;4,24740207833733;1,35111242564659;6,09851450398392;"good"
"690";"Rider5";"23/2009";0;0;0;1;9887;105,11;0;0;0;0;0;0;0;0;0;2;4999;123,59;3;11305;162,95;0,428571428571429;3,48934185984546;1,28709454796411;5,205007836381;"good"
"691";"Rider5";"1/2011";0;0;0;0;0;0;0;0;0;2;14358;133,26;2;13811;124,89;0;0;0;3;23817;146,91;0,5;6,92592592592593;1,33116434979789;8,75709027572382;"good"
"693";"Rider5";"8/2009";2;8154;128,95;2;8574;136,27;0;0;0;2;5929;126,54;2;11093;127,43;0;0;0;0;0;0;0,571428571428571;4,49640287769784;1,70623418449505;6,77406563362147;"good"
"696";"Rider2";"50/2014";1;90667;105,74;1;82218;108,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,142857142857143;23,0329070077272;0,704393834828617;23,8801579854129;"good"
"700";"Rider5";"41/2009";0;0;0;0;0;0;0;0;0;0;0;0;1;439612;111;0;0;0;0;0;0;0,0714285714285714;58,5680788702372;0,364783594597259;59,004291036263;"good"
