;Rider;WeekOfYear;mon_intensity;mon_duration;mon_hr;tue_intensity;tue_duration;tue_hr;wed_intensity;wed_duration;wed_hr;thu_intensity;thu_duration;thu_hr;fri_intensity;fri_duration;fri_hr;sat_intensity;sat_duration;sat_hr;sun_intensity;sun_duration;sun_hr;weekIntensity;weekDuration;weekHearthrate;weekOveral;bestAtlethes
"548";"Rider2";"51/2012";0;0;0;2;3866;125.95;0;0;0;0;0;0;0;0;0;2;18601;127.22;0;0;0;0.285714285714286;2.99320543565148;0.832002366163857;4.11092208752962;"bad"
"602";"Rider2";"46/2012";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7213;128.13;2;6582;119.31;0.285714285714286;1.83786304289901;0.813171645469782;2.93674897408308;"bad"
"255";"Rider4";"16/2013";0;0;0;0;0;0;1;9448;80.03;2;14599;140.73;1;10107;109.57;0;0;0;0;0;0;0.285714285714286;4.55022648547828;1.0855762594893;5.92151703068187;"good"
"190";"Rider4";"16/2014";1;15593;102.91;2;19649;129.29;2;10777;126.53;2;9856;140.24;1;9802;97.53;2;15648;131.81;0;0;0;0.714285714285714;10.8346656008527;2.39347333136153;13.9424246464999;"good"
"169";"Rider4";"27/2014";1;10176;101.8;1;7553;108.31;2;9925;127.14;2;13571;132.29;1;5980;99.6;2;26628;121.32;1;16803;113.15;0.714285714285714;12.0751398880895;2.64093463472345;15.4303602370987;"good"
"536";"Rider3";"34/2011";0;0;0;2;9783;136.67;2;12027;137.29;0;0;0;0;0;0;2;3980;139.41;3;13092;158.5;0.642857142857143;5.18012256861178;1.8793585066877;7.70233821815662;"good"
"735";"Rider5";"29/2010";0;0;0;0;0;0;0;0;0;2;7184;136.74;0;0;0;0;0;0;0;0;0;0.142857142857143;0.957100985877964;0.449373952479543;1.54933208121465;"bad"
"677";"Rider5";"24/2009";0;0;0;1;7496;115.12;2;4717;133.17;0;0;0;2;7645;118.56;0;0;0;3;5561;172.25;0.571428571428571;3.38649080735412;1.77166518781426;5.72958456659694;"good"
"167";"Rider2";"27/2014";0;0;0;0;0;0;1;6727;112.01;1;5514;97.22;0;0;0;1;12835;112.1;1;6229;91.66;0.285714285714286;4.17066346922462;1.35722501561011;5.81360277054901;"good"
"737";"Rider5";"14/2009";0;0;0;0;0;0;0;0;0;0;0;0;2;17360;124.93;2;28848;128.07;0;0;0;0.285714285714286;6.15614175326406;0.831443688586546;7.27329972756489;"good"
