"avgHeartRate";"intensity";"Rider_id";"duration";"dateOfTraining";"id";"cluster"
113.56;1.0;"Rider4";3737.0;1/26/12 5:02 PM;2441.0;"cluster_2"
133.22;2.0;"Rider4";8596.0;5/27/14 8:01 AM;2442.0;"cluster_0"
129.66;2.0;"Rider4";7707.0;1/22/15 3:01 PM;2443.0;"cluster_0"
110.5;1.0;"Rider4";16195.0;11/17/13 9:25 AM;2444.0;"cluster_2"
114.86;1.0;"Rider4";2444.0;10/11/12 5:26 PM;2445.0;"cluster_2"
144.49;3.0;"Rider4";9786.0;4/4/12 2:10 PM;2446.0;"cluster_1"
142.82;3.0;"Rider4";4955.0;8/30/13 3:15 PM;2447.0;"cluster_1"
117.52;1.0;"Rider4";9615.0;7/17/14 9:45 AM;2448.0;"cluster_2"
121.94;2.0;"Rider4";16997.0;1/3/14 10:14 AM;2449.0;"cluster_0"
134.65;2.0;"Rider4";16023.0;12/22/13 10:01 AM;2450.0;"cluster_0"
118.44;2.0;"Rider4";17931.0;8/28/14 9:59 AM;2451.0;"cluster_0"
121.19;2.0;"Rider4";7159.0;8/31/11 9:18 AM;2452.0;"cluster_0"
123.7;2.0;"Rider4";15898.0;8/4/12 7:18 AM;2453.0;"cluster_0"
111.86;1.0;"Rider4";8772.0;7/29/14 8:55 AM;2454.0;"cluster_2"
121.61;2.0;"Rider4";11037.0;7/30/14 9:53 AM;2455.0;"cluster_0"
123.57;2.0;"Rider4";8789.0;6/12/14 11:06 AM;2456.0;"cluster_0"
123.74;2.0;"Rider4";9963.0;10/12/12 1:33 PM;2457.0;"cluster_0"
133.06;2.0;"Rider4";12369.0;2/12/14 11:49 AM;2458.0;"cluster_0"
111.49;1.0;"Rider4";11241.0;3/4/12 9:37 AM;2459.0;"cluster_2"
142.63;3.0;"Rider4";14932.0;3/15/12 11:06 AM;2460.0;"cluster_1"
142.9;3.0;"Rider4";8310.0;6/6/12 3:12 PM;2461.0;"cluster_1"
135.03;2.0;"Rider4";341359.0;1/5/15 3:32 PM;2462.0;"cluster_0"
75.93;1.0;"Rider4";82774.0;5/19/12 9:15 AM;2463.0;"cluster_2"
131.94;2.0;"Rider4";20092.0;3/8/14 9:24 AM;2464.0;"cluster_0"
136.22;2.0;"Rider4";5687.0;8/4/11 9:23 AM;2465.0;"cluster_0"
141.31;3.0;"Rider4";16117.0;3/18/12 9:12 AM;2466.0;"cluster_1"
135.61;2.0;"Rider4";2397.0;1/14/14 3:04 PM;2467.0;"cluster_0"
140.77;2.0;"Rider4";7147.0;3/27/14 8:29 AM;2468.0;"cluster_0"
93.94;1.0;"Rider4";6861.0;5/13/14 2:33 PM;2469.0;"cluster_2"
121.56;2.0;"Rider4";12204.0;1/10/13 9:44 AM;2470.0;"cluster_0"
128.48;2.0;"Rider4";12839.0;7/17/12 1:17 PM;2471.0;"cluster_0"
122.19;2.0;"Rider4";8488.0;11/12/13 11:18 AM;2472.0;"cluster_0"
138.52;2.0;"Rider4";14976.0;7/8/13 1:24 PM;2473.0;"cluster_0"
136.94;2.0;"Rider4";3598.0;1/27/12 11:25 AM;2474.0;"cluster_0"
153.83;3.0;"Rider4";7103.0;9/29/11 8:33 AM;2475.0;"cluster_1"
125.6;2.0;"Rider4";9253.0;2/17/12 1:36 PM;2476.0;"cluster_0"
135.48;2.0;"Rider4";15362.0;3/9/14 9:24 AM;2477.0;"cluster_0"
114.07;1.0;"Rider4";7867.0;10/15/12 1:01 PM;2478.0;"cluster_2"
113.81;1.0;"Rider4";8723.0;9/25/12 8:41 AM;2479.0;"cluster_2"
122.6;2.0;"Rider4";15100.0;6/25/13 10:43 AM;2480.0;"cluster_0"
119.89;2.0;"Rider4";8352.0;11/6/13 9:49 AM;2481.0;"cluster_0"
133.32;2.0;"Rider4";20994.0;3/20/14 9:41 AM;2482.0;"cluster_0"
128.96;2.0;"Rider4";12608.0;1/21/14 10:03 AM;2483.0;"cluster_0"
109.62;1.0;"Rider4";8071.0;9/4/14 10:20 AM;2484.0;"cluster_2"
117.24;1.0;"Rider4";12658.0;3/14/12 9:23 AM;2485.0;"cluster_2"
127.85;2.0;"Rider4";25333.0;8/15/12 7:50 AM;2486.0;"cluster_0"
115.21;1.0;"Rider4";7692.0;10/7/12 9:06 AM;2487.0;"cluster_2"
119.32;2.0;"Rider4";1488.0;4/6/14 8:23 AM;2488.0;"cluster_0"
118.1;2.0;"Rider4";11621.0;9/30/14 11:25 AM;2489.0;"cluster_0"
131.51;2.0;"Rider4";6134.0;1/22/12 8:34 AM;2490.0;"cluster_0"
117.51;1.0;"Rider4";11718.0;6/17/14 3:13 PM;2491.0;"cluster_2"
115.49;1.0;"Rider4";12036.0;1/18/15 10:36 AM;2492.0;"cluster_2"
134.43;2.0;"Rider4";9614.0;4/10/12 2:39 PM;2493.0;"cluster_0"
79.4;1.0;"Rider4";9310.0;4/13/12 1:44 PM;2494.0;"cluster_2"
119.52;2.0;"Rider4";5936.0;10/2/13 2:23 PM;2495.0;"cluster_0"
