"Rider";"WeekOfYear";"mon_intensity";"mon_duration";"mon_hr";"tue_intensity";"tue_duration";"tue_hr";"wed_intensity";"wed_duration";"wed_hr";"thu_intensity";"thu_duration";"thu_hr";"fri_intensity";"fri_duration";"fri_hr";"sat_intensity";"sat_duration";"sat_hr";"sun_intensity";"sun_duration";"sun_hr"
"Rider4";"35/2014";1.0;7069.0;110.8;2.0;14871.0;126.55;3.0;9940.0;148.32;2.0;17931.0;118.44;1.0;1825.0;93.18;1.0;10356.0;86.12;2.0;23881.0;133.03
"Rider7";"8/2014";0;0;0;0;0;0;0;0;0;2.0;11890.0;123.84;2.0;8304.0;118.98;0;0;0;2.0;10739.0;123.65
"Rider3";"8/2014";0;0;0;0;0;0;2.0;8045.0;128.07;2.0;5230.0;133.03;0;0;0;2.0;6866.0;134.92;0;0;0
"Rider5";"8/2014";0;0;0;1.0;4322.0;112.06;1.0;6052.0;106.53;0;0;0;1.0;6642.0;117.66;0;0;0;2.0;8448.0;127.2
"Rider2";"8/2014";0;0;0;2.0;4290.0;123.23;0;0;0;0;0;0;2.0;7038.0;134.57;0;0;0;0;0;0
"Rider4";"8/2014";0;0;0;0;0;0;2.0;17238.0;121.45;2.0;12711.0;121.29;2.0;16080.0;126.2;0;0;0;2.0;12516.0;129.96
"Rider7";"26/2014";1.0;9177.0;103.11;1.0;8464.0;112.74;1.0;4706.0;108.32;1.0;10963.0;112.61;1.0;7273.0;97.65;1.0;12628.0;114.91;1.0;14058.0;116.85
"Rider3";"26/2014";0;0;0;0;0;0;0;0;0;2.0;8252.0;131.1;0;0;0;0;0;0;0;0;0
"Rider5";"26/2014";0;0;0;0;0;0;0;0;0;2.0;4009.0;136.93;0;0;0;2.0;4807.0;140.91;2.0;5984.0;132.55
"Rider2";"26/2014";0;0;0;0;0;0;2.0;9110.0;118.31;0;0;0;0;0;0;1.0;8975.0;116.5;1.0;8427.0;112.8
"Rider1";"26/2014";0;0;0;0;0;0;0;0;0;1.0;13662.0;115.28;1.0;6366.0;105.58;3.0;4570.0;165.32;3.0;16747.0;147.11
"Rider4";"26/2014";1.0;13740.0;92.2;1.0;7177.0;108.2;2.0;12667.0;119.48;2.0;19154.0;139.12;2.0;15306.0;118.95;1.0;13624.0;108.36;0;0;0
"Rider7";"11/2014";0;0;0;0;0;0;1.0;5967.0;114.98;2.0;4516.0;124.5;1.0;7279.0;115.9;1.0;5044.0;105.62;3.0;7340.0;148.48
"Rider3";"11/2014";2.0;7584.0;127.14;2.0;4644.0;131.62;2.0;9154.0;121.64;0;0;0;2.0;6962.0;127.84;2.0;10179.0;134.71;2.0;10560.0;130.32
"Rider5";"11/2014";0;0;0;0;0;0;0;0;0;2.0;4037.0;140.73;0;0;0;2.0;4522.0;118.58;0;0;0
"Rider2";"11/2014";0;0;0;2.0;7627.0;133.37;2.0;8043.0;128.98;2.0;6256.0;121.57;0;0;0;2.0;12565.0;125.25;1.0;5925.0;110.69
"Rider1";"11/2014";2.0;4283.0;124.44;2.0;9575.0;134.35;3.0;11621.0;142.13;0;0;0;2.0;10118.0;134.18;1.0;7966.0;87.71;3.0;11999.0;160.16
"Rider4";"11/2014";1.0;9748.0;108.46;3.0;10621.0;146.2;2.0;11899.0;140.79;3.0;16286.0;144.98;0;0;0;0;0;0;0;0;0
"Rider7";"38/2013";0;0;0;0;0;0;1.0;7714.0;110.51;1.0;7171.0;114.11;1.0;4401.0;115.34;0;0;0;0;0;0
"Rider3";"38/2013";0;0;0;2.0;5037.0;125.06;2.0;5173.0;139.33;0;0;0;1.0;1963.0;116.08;3.0;14698.0;160.37;0;0;0
"Rider5";"38/2013";0;0;0;0;0;0;1.0;4517.0;115.94;0;0;0;0;0;0;3.0;19295.0;154.13;0;0;0
"Rider2";"38/2013";0;0;0;1.0;4105.0;102.07;2.0;4804.0;118.41;0;0;0;2.0;3164.0;118.17;3.0;23786.0;143.95;0;0;0
"Rider1";"38/2013";0;0;0;0;0;0;0;0;0;0;0;0;3.0;6578.0;142.3;0;0;0;0;0;0
"Rider4";"38/2013";1.0;2.0;64.5;0;0;0;2.0;12478.0;133.9;2.0;5677.0;139.49;0;0;0;0;0;0;2.0;14246.0;118.25
"Rider7";"33/2014";2.0;7056.0;125.82;2.0;95007.0;119.38;0;0;0;0;0;0;1.0;8283.0;111.87;0;0;0;2.0;7707.0;120.73
"Rider6";"33/2014";0;0;0;0;0;0;0;0;0;1.0;3999.0;109.48;0;0;0;2.0;22338.0;134.45;0;0;0
"Rider3";"33/2014";3.0;10116.0;144.55;0;0;0;2.0;7895.0;140.87;2.0;5685.0;123.87;0;0;0;2.0;9720.0;139.39;3.0;9767.0;144.69
"Rider5";"33/2014";0;0;0;0;0;0;1.0;5503.0;114.09;0;0;0;0;0;0;2.0;4776.0;130.5;0;0;0
"Rider2";"33/2014";0;0;0;0;0;0;2.0;13534.0;119.75;0;0;0;0;0;0;2.0;11697.0;123.24;1.0;6605.0;105.9
"Rider1";"33/2014";1.0;11856.0;105.09;0;0;0;2.0;12618.0;131.44;2.0;15340.0;128.87;1.0;7940.0;101.44;3.0;9960.0;156.63;1.0;3249.0;116.41
"Rider4";"33/2014";1.0;11916.0;107.96;1.0;10945.0;111.16;1.0;9368.0;114.5;0;0;0;1.0;13465.0;113.66;3.0;5439.0;141.61;0;0;0
"Rider7";"17/2014";0;0;0;1.0;9342.0;114.14;1.0;9100.0;116.71;1.0;140.0;85.49;0;0;0;2.0;19939.0;120.56;1.0;12705.0;113.64
"Rider3";"17/2014";0;0;0;0;0;0;2.0;84821.0;125.32;2.0;89967.0;126.74;2.0;6403.0;133.69;2.0;13710.0;124.25;0;0;0
"Rider5";"17/2014";2.0;5122.0;127.44;0;0;0;0;0;0;2.0;8449.0;124.9;2.0;7197.0;121.62;0;0;0;2.0;14886.0;129.29
"Rider2";"17/2014";2.0;11893.0;130.24;0;0;0;1.0;6795.0;117.11;1.0;5218.0;104.28;0;0;0;1.0;12338.0;80.99;1.0;3421.0;100.27
"Rider1";"17/2014";2.0;7060.0;139.7;2.0;18804.0;139.06;0;0;0;2.0;11346.0;130.14;2.0;10951.0;129.3;0;0;0;2.0;8600.0;136.05
"Rider4";"17/2014";0;0;0;1.0;4549.0;106.17;2.0;15790.0;136.66;1.0;26755.0;109.96;0;0;0;1.0;4140.0;111.3;0;0;0
"Rider7";"34/2014";1.0;6999.0;115.51;1.0;7180.0;110.21;0;0;0;1.0;6142.0;113.7;1.0;8590.0;116.04;0;0;0;1.0;5260.0;111.31
"Rider6";"34/2014";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;3390.0;158.41;2.0;25827.0;119.7
"Rider3";"34/2014";2.0;11838.0;129.5;2.0;9182.0;126.86;0;0;0;2.0;7291.0;129.76;2.0;6698.0;138.9;0;0;0;0;0;0
"Rider5";"34/2014";0;0;0;0;0;0;2.0;4663.0;136.93;0;0;0;0;0;0;0;0;0;2.0;9025.0;140.43
"Rider2";"34/2014";1.0;5960.0;104.8;0;0;0;0;0;0;0;0;0;1.0;3593.0;106.67;2.0;5778.0;128.77;1.0;4869.0;113.31
"Rider1";"34/2014";1.0;5693.0;107.74;0;0;0;2.0;7597.0;126.51;2.0;4463.0;128.16;1.0;2992.0;109.23;1.0;6323.0;114.18;2.0;8994.0;140.17
"Rider4";"34/2014";2.0;12530.0;121.74;2.0;13452.0;130.64;1.0;11296.0;117.55;2.0;15008.0;128.58;1.0;3484.0;88.33;1.0;5652.0;115.38;0;0;0
"Rider7";"15/2013";0;0;0;2.0;9162.0;118.11;1.0;8229.0;117.61;2.0;8453.0;127.75;0;0;0;2.0;13407.0;122.26;1.0;11153.0;113.42
"Rider3";"15/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;12715.0;123.95
"Rider5";"15/2013";0;0;0;0;0;0;2.0;7751.0;136.42;0;0;0;0;0;0;3.0;2164.0;170.99;0;0;0
"Rider2";"15/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;8300.0;155.33;2.0;9582.0;141.09
"Rider1";"15/2013";0;0;0;0;0;0;0;0;0;2.0;6494.0;125.6;0;0;0;2.0;11945.0;138.62;2.0;26243.0;122.84
"Rider4";"15/2013";2.0;12345.0;139.96;1.0;3135.0;104.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rider7";"24/2014";2.0;5138.0;120.3;0;0;0;2.0;6063.0;119.07;2.0;8910.0;133.62;1.0;11299.0;113.29;0;0;0;0;0;0
"Rider6";"24/2014";0;0;0;0;0;0;2.0;5439.0;119.17;0;0;0;0;0;0;0;0;0;2.0;11861.0;128.33
"Rider3";"24/2014";0;0;0;2.0;2575.0;125.58;1.0;6975.0;113.69;0;0;0;0;0;0;0;0;0;3.0;5763.0;151.76
"Rider5";"24/2014";0;0;0;2.0;3631.0;125.36;0;0;0;3.0;16372.0;151.22;3.0;4962.0;161.02;0;0;0;3.0;12106.0;142.58
"Rider2";"24/2014";0;0;0;0;0;0;2.0;6495.0;119.78;0;0;0;1.0;4061.0;112.69;2.0;8379.0;129.67;2.0;9419.0;139.3
"Rider1";"24/2014";0;0;0;2.0;9364.0;137.46;2.0;6654.0;124.84;2.0;8233.0;123.44;2.0;5807.0;132.43;3.0;1435.0;176.25;1.0;3168.0;105.47
"Rider4";"24/2014";2.0;14839.0;129.3;3.0;15206.0;144.69;2.0;12960.0;137.32;2.0;8789.0;123.57;0;0;0;0;0;0;1.0;37712.0;102.01
"Rider7";"18/2013";2.0;5711.0;121.08;0;0;0;2.0;8252.0;118.54;1.0;3784.0;92.57;1.0;11791.0;109.45;1.0;5807.0;91.32;2.0;17788.0;134.62
"Rider3";"18/2013";0;0;0;2.0;7839.0;129.76;2.0;15357.0;123.31;2.0;6395.0;129.01;2.0;86208.0;118.89;1.0;13675.0;64.19;2.0;4574.0;128.98
"Rider5";"18/2013";0;0;0;2.0;12359.0;140.75;1.0;6424.0;115.87;0;0;0;0;0;0;0;0;0;0;0;0
"Rider2";"18/2013";0;0;0;0;0;0;1.0;8217.0;109.16;2.0;10702.0;121.45;2.0;8195.0;119.05;2.0;11202.0;129.02;1.0;4161.0;104.36
"Rider1";"18/2013";3.0;6468.0;142.03;0;0;0;2.0;11824.0;140.2;0;0;0;0;0;0;0;0;0;0;0;0
"Rider4";"18/2013";1.0;13864.0;117.68;2.0;11302.0;137.81;2.0;16319.0;125.37;2.0;11964.0;128.16;1.0;18160.0;105.55;0;0;0;0;0;0
"Rider7";"14/2014";1.0;5009.0;108.1;1.0;9882.0;116.03;1.0;6185.0;106.15;0;0;0;1.0;4741.0;107.88;1.0;9985.0;114.32;3.0;4545.0;147.1
"Rider3";"14/2014";0;0;0;2.0;5666.0;130.94;2.0;8825.0;125.56;2.0;7418.0;136.11;0;0;0;2.0;7087.0;132.23;2.0;7296.0;130.74
"Rider5";"14/2014";0;0;0;0;0;0;2.0;3297.0;133.64;0;0;0;3.0;3684.0;153.84;0;0;0;0;0;0
"Rider2";"14/2014";0;0;0;0;0;0;2.0;9041.0;127.16;2.0;6999.0;121.28;0;0;0;2.0;8387.0;123.81;1.0;6696.0;105.01
"Rider1";"14/2014";0;0;0;1.0;6748.0;106.68;2.0;17039.0;139.29;2.0;13010.0;135.22;2.0;1983.0;131.19;1.0;2976.0;94.3;3.0;15215.0;147.97
"Rider4";"14/2014";1.0;17535.0;115.23;2.0;3257.0;134.08;2.0;10941.0;126.68;2.0;18223.0;130.12;3.0;4499.0;148.67;0;0;0;2.0;1488.0;119.32
"Rider7";"20/2014";0;0;0;1.0;6329.0;111.64;1.0;8470.0;116.14;1.0;11102.0;109.44;1.0;4988.0;110.57;2.0;9326.0;119.52;2.0;12717.0;118.13
"Rider6";"20/2014";0;0;0;0;0;0;2.0;6030.0;120.19;0;0;0;0;0;0;0;0;0;0;0;0
"Rider3";"20/2014";0;0;0;0;0;0;2.0;6320.0;131.31;0;0;0;0;0;0;0;0;0;2.0;3757.0;127.88
"Rider5";"20/2014";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;2630.0;166.46;0;0;0
"Rider2";"20/2014";0;0;0;0;0;0;2.0;6600.0;123.78;0;0;0;1.0;3355.0;117.08;3.0;5143.0;149.43;2.0;3682.0;120.7
"Rider1";"20/2014";0;0;0;2.0;11490.0;136.63;2.0;12168.0;133.08;2.0;10921.0;140.28;0;0;0;3.0;4929.0;144.06;3.0;4570.0;155.66
"Rider4";"20/2014";1.0;19548.0;112.08;1.0;6861.0;93.94;2.0;11628.0;120.83;0;0;0;0;0;0;0;0;0;2.0;19589.0;128.14
"Rider7";"40/2014";1.0;7683.0;116.19;2.0;9848.0;124.19;1.0;4663.0;111.19;0;0;0;1.0;101258.0;111.09;1.0;7508.0;105.59;1.0;13912.0;111.21
"Rider6";"40/2014";0;0;0;0;0;0;3.0;3498.0;142.46;0;0;0;0;0;0;2.0;4972.0;136.3;0;0;0
"Rider5";"40/2014";0;0;0;1.0;4874.0;112.53;1.0;4809.0;112.92;0;0;0;0;0;0;3.0;6374.0;158.2;0;0;0
"Rider1";"40/2014";1.0;7252.0;110.79;3.0;22408.0;155.64;2.0;4409.0;124.6;2.0;5083.0;129.29;2.0;7555.0;140.29;1.0;2675.0;97.36;2.0;18975.0;121.91
"Rider4";"40/2014";1.0;4915.0;109.93;2.0;11621.0;118.1;0;0;0;0;0;0;0;0;0;0;0;0;1.0;10014.0;103.39
"Rider7";"12/2013";0;0;0;1.0;7748.0;107.93;0;0;0;0;0;0;1.0;244.0;83.08;2.0;13464.0;126.88;0;0;0
"Rider3";"12/2013";0;0;0;2.0;10181.0;127.73;1.0;5886.0;107.45;1.0;6116.0;85.84;0;0;0;0;0;0;0;0;0
"Rider5";"12/2013";0;0;0;0;0;0;2.0;7323.0;130.98;2.0;7555.0;137.89;0;0;0;0;0;0;0;0;0
"Rider2";"12/2013";0;0;0;0;0;0;2.0;6826.0;124.57;0;0;0;0;0;0;0;0;0;0;0;0
"Rider1";"12/2013";0;0;0;0;0;0;3.0;11226.0;153.77;0;0;0;0;0;0;3.0;12054.0;151.27;0;0;0
"Rider4";"12/2013";0;0;0;1.0;9720.0;105.8;2.0;9528.0;137.02;0;0;0;0;0;0;0;0;0;0;0;0
"Rider7";"29/2012";0;0;0;0;0;0;0;0;0;0;0;0;1.0;957.0;74.24;0;0;0;2.0;8388.0;121.88
"Rider3";"29/2012";0;0;0;2.0;6813.0;140.25;2.0;4418.0;131.78;2.0;7877.0;136.44;0;0;0;2.0;3505.0;118.28;0;0;0
"Rider4";"29/2012";0;0;0;2.0;12839.0;128.48;1.0;2673.0;111.72;1.0;9860.0;116.57;1.0;8546.0;111.63;0;0;0;0;0;0
"Rider7";"17/2013";0;0;0;1.0;8259.0;115.14;0;0;0;1.0;11505.0;100.42;1.0;6917.0;109.0;2.0;8845.0;118.2;1.0;12808.0;117.56
"Rider3";"17/2013";0;0;0;1.0;11103.0;110.87;2.0;11321.0;127.79;2.0;7523.0;129.25;0;0;0;1.0;7680.0;110.34;3.0;5837.0;165.73
"Rider5";"17/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;7429.0;130.55;3.0;12478.0;143.3
"Rider2";"17/2013";0;0;0;0;0;0;2.0;7268.0;125.53;1.0;11527.0;110.85;0;0;0;0;0;0;0;0;0
"Rider1";"17/2013";0;0;0;2.0;8209.0;123.0;3.0;15909.0;163.46;0;0;0;2.0;5814.0;121.21;1.0;8528.0;72.57;0;0;0
"Rider4";"17/2013";0;0;0;2.0;8530.0;137.4;2.0;10151.0;138.27;2.0;10413.0;122.66;0;0;0;3.0;5048.0;143.25;0;0;0
"Rider7";"15/2014";2.0;4850.0;118.28;1.0;9727.0;115.51;1.0;9047.0;115.19;1.0;8747.0;113.93;2.0;7471.0;119.38;1.0;13118.0;106.9;1.0;9867.0;104.54
"Rider3";"15/2014";2.0;8528.0;134.64;0;0;0;2.0;7203.0;129.9;0;0;0;2.0;2743.0;123.16;0;0;0;2.0;7989.0;137.03
"Rider5";"15/2014";0;0;0;0;0;0;0;0;0;0;0;0;3.0;3805.0;143.49;0;0;0;0;0;0
"Rider2";"15/2014";0;0;0;2.0;6311.0;123.22;0;0;0;1.0;6615.0;115.9;0;0;0;2.0;7994.0;138.52;1.0;7149.0;109.75
"Rider1";"15/2014";1.0;11710.0;114.04;2.0;13116.0;139.37;2.0;12431.0;127.92;2.0;7803.0;132.68;2.0;3469.0;126.96;3.0;3938.0;142.41;3.0;12141.0;150.07
"Rider4";"15/2014";1.0;14340.0;117.05;0;0;0;2.0;2340.0;127.99;0;0;0;1.0;27135.0;109.11;1.0;13415.0;97.76;0;0;0
"Rider7";"12/2014";1.0;5794.0;116.22;0;0;0;1.0;6850.0;109.92;1.0;13051.0;104.49;1.0;11494.0;102.16;1.0;10321.0;110.52;0;0;0
"Rider3";"12/2014";2.0;5161.0;127.69;0;0;0;2.0;6281.0;125.48;2.0;5716.0;135.81;0;0;0;2.0;10563.0;128.18;2.0;7388.0;137.9
"Rider5";"12/2014";0;0;0;2.0;5371.0;140.03;3.0;7112.0;145.82;2.0;4751.0;134.0;0;0;0;2.0;9860.0;137.9;0;0;0
"Rider2";"12/2014";0;0;0;2.0;7756.0;125.28;0;0;0;2.0;8781.0;130.32;0;0;0;2.0;6894.0;123.72;2.0;6501.0;123.57
"Rider1";"12/2014";0;0;0;2.0;9460.0;137.71;2.0;16463.0;138.26;2.0;5280.0;131.13;0;0;0;2.0;12948.0;137.69;2.0;12570.0;129.97
"Rider4";"12/2014";0;0;0;0;0;0;1.0;14444.0;112.94;2.0;20994.0;133.32;1.0;21605.0;111.99;2.0;21328.0;131.97;2.0;16511.0;123.39
"Rider7";"28/2014";1.0;6342.0;103.2;1.0;11065.0;111.73;1.0;2646.0;107.7;0;0;0;1.0;9060.0;115.56;1.0;11078.0;114.43;1.0;6700.0;105.58
"Rider6";"28/2014";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;6565.0;132.52
"Rider3";"28/2014";2.0;6350.0;133.37;0;0;0;0;0;0;0;0;0;2.0;5540.0;121.3;2.0;10006.0;120.6;2.0;12572.0;121.73
"Rider2";"28/2014";2.0;7765.0;122.36;0;0;0;0;0;0;0;0;0;0;0;0;1.0;12014.0;114.11;1.0;5374.0;87.78
"Rider1";"28/2014";0;0;0;0;0;0;2.0;8405.0;131.71;2.0;9354.0;125.15;2.0;13943.0;133.09;0;0;0;2.0;8775.0;136.89
"Rider4";"28/2014";1.0;8426.0;93.0;2.0;11947.0;131.31;1.0;12116.0;113.59;0;0;0;2.0;2952.0;120.82;0;0;0;0;0;0
"Rider7";"39/2014";1.0;6251.0;107.64;1.0;88971.0;114.18;1.0;8470.0;114.7;0;0;0;0;0;0;1.0;170707.0;116.48;0;0;0
"Rider6";"39/2014";0;0;0;0;0;0;0;0;0;2.0;4090.0;135.61;0;0;0;0;0;0;2.0;11552.0;136.18
"Rider3";"39/2014";0;0;0;2.0;4461.0;132.12;2.0;8799.0;136.7;0;0;0;0;0;0;0;0;0;0;0;0
"Rider5";"39/2014";3.0;4618.0;142.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;10423.0;159.63
"Rider2";"39/2014";0;0;0;1.0;7547.0;114.76;2.0;6499.0;122.57;0;0;0;3.0;8017.0;147.75;2.0;14312.0;137.04;3.0;15463.0;144.41
"Rider1";"39/2014";1.0;32086.0;110.63;2.0;7968.0;135.27;2.0;16476.0;136.51;0;0;0;1.0;16543.0;110.91;2.0;7413.0;124.74;2.0;30447.0;126.45
"Rider7";"27/2014";0;0;0;1.0;9769.0;115.06;1.0;5505.0;100.73;1.0;9577.0;112.29;1.0;21275.0;112.74;1.0;6526.0;104.41;1.0;9427.0;105.43
"Rider3";"27/2014";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;6866.0;134.58
"Rider5";"27/2014";0;0;0;2.0;5224.0;125.9;0;0;0;0;0;0;0;0;0;3.0;10171.0;163.6;0;0;0
